starttime	seconds	ctime	dtime	ttime	wait
Wed May 15 23:21:47 2013	1368660107	1	77	78	76
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	76
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	76
Wed May 15 23:21:47 2013	1368660107	1	77	78	76
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	5	73	78	73
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:48 2013	1368660108	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	5	73	78	73
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:48 2013	1368660108	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:48 2013	1368660108	1	78	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:48 2013	1368660108	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	78	77
Wed May 15 23:21:47 2013	1368660107	1	77	79	77
Wed May 15 23:21:47 2013	1368660107	1	78	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:47 2013	1368660107	1	78	79	77
Wed May 15 23:21:47 2013	1368660107	1	77	79	77
Wed May 15 23:21:47 2013	1368660107	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:47 2013	1368660107	1	77	79	77
Wed May 15 23:21:47 2013	1368660107	1	77	79	77
Wed May 15 23:21:47 2013	1368660107	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	77
Wed May 15 23:21:48 2013	1368660108	1	77	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:47 2013	1368660107	5	74	79	74
Wed May 15 23:21:47 2013	1368660107	1	78	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:47 2013	1368660107	1	78	79	77
Wed May 15 23:21:47 2013	1368660107	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:47 2013	1368660107	2	77	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:47 2013	1368660107	1	78	79	77
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	78	79	78
Wed May 15 23:21:48 2013	1368660108	1	79	80	78
Wed May 15 23:21:48 2013	1368660108	1	79	80	78
Wed May 15 23:21:48 2013	1368660108	1	79	80	79
Wed May 15 23:21:48 2013	1368660108	1	79	80	79
Wed May 15 23:21:48 2013	1368660108	1	79	80	79
Wed May 15 23:21:48 2013	1368660108	2	78	80	78
Wed May 15 23:21:48 2013	1368660108	1	79	80	79
Wed May 15 23:21:48 2013	1368660108	1	79	80	79
Wed May 15 23:21:47 2013	1368660107	5	76	80	75
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:47 2013	1368660107	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	79
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:47 2013	1368660107	5	76	81	76
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:47 2013	1368660107	5	76	81	76
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:47 2013	1368660107	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:48 2013	1368660108	1	80	81	80
Wed May 15 23:21:47 2013	1368660107	1	80	82	80
Wed May 15 23:21:48 2013	1368660108	1	81	82	80
Wed May 15 23:21:47 2013	1368660107	1	80	82	80
Wed May 15 23:21:48 2013	1368660108	1	80	82	80
Wed May 15 23:21:47 2013	1368660107	1	80	82	80
Wed May 15 23:21:47 2013	1368660107	1	81	82	80
